	stopword
0 	\r\n
1 	nbsp
2 	?
3 	、
4 	。
5 	”
6 	“
7 	《
8 	》
9 	！
10 	，
11 	：
12 	；
13 	？
14 	啊
15 	阿
16 	为
17 	其中
18 	可以
19 	和
20 	地
21 	的
22 	已经
23 	曾经
24 	刚才
25 	正在
26 	就
27 	将要
28 	快要
29 	马上
30 	立刻
31 	顿时
32 	渐渐
33 	终于
34 	忽然
35 	偶尔
36 	常常
37 	时常
38 	永远
39 	永久
40 	一直
41 	一向
42 	一再
43 	再三
44 	屡次
45 	很
46 	挺
47 	更
48 	更加
49 	极
50 	越
51 	极其
52 	非常
53 	十分
54 	最
55 	太
56 	过于
57 	稍微
58 	略微
59 	略略
60 	都
61 	全都
62 	总
63 	统统
64 	仅仅
65 	只
66 	又
67 	再
68 	也
69 	还
70 	可
71 	却
72 	倒
73 	偏
74 	决
75 	难道
76 	可能
77 	不
78 	没有
79 	没
80 	必定
81 	必
82 	也许
83 	或许
84 	把
85 	从
86 	向
87 	朝
88 	为
89 	为了
90 	往
91 	于
92 	比
93 	被
94 	在
95 	对
96 	以
97 	通过
98 	随着
99 	作为
100 	从
101 	在
102 	由
103 	到
104 	于
105 	趁
106 	在
107 	从
108 	打
109 	向
110 	朝
111 	冲
112 	沿着
113 	顺着
114 	对
115 	跟
116 	同
117 	和
118 	给
119 	为
120 	至于
121 	关于
122 	按照
123 	依据
124 	以
125 	本
126 	通过
127 	经过
128 	由于
129 	因为
130 	为了
131 	为着
132 	比
133 	同
134 	和
135 	与
136 	除了
137 	除开
138 	和
139 	及
140 	或者
141 	或
142 	又
143 	既
144 	的
145 	地
146 	得
147 	所
148 	似的
149 	着
150 	了
151 	过
152 	啊
153 	吗
154 	呢
155 	吧
156 	呐
157 	呀
158 	了
159 	么
160 	哇
161 	喂
162 	哟
163 	嗨
164 	哼
165 	哦
166 	哎呀
167	问
168	需要
169	名为
170	还是
171	还有
172	岁
173	串
174	举
175	剂
176	个
177	卖
178	荮
179	遍
180	张
181	席
182	吊
183	间
184	声
185	拨
186	掬
187	撇
188	溜
189	绺
190	堆
191	贴
192	料
193	觉
194	枚
195	株
196	片
197	曲
198	瓣
199	锭
200	码
201	联
202	竿
203	重
204	领
205	事
206	具
207	副
208	介
209	亩
210	落
211	道
212	弯
213	常
214	合
215	阕
216	扎
217	担
218	排
219	撮
220	滩
221	综
222	堂
223	点
224	卷
225	斤
226	枝
227	桩
228	版
229	替
230	秒
231	锱
232	砣
233	缶
234	筥
235	身
236	顶
237	册
238	美
239	些
240	令
241	记
242	蓬
243	遭
244	开
245	幅
246	名
247	宗
248	打
249	拉
250	捧
251	汪
252	滴
253	缕
254	塔
255	煎
256	截
257	笔
258	柄
259	梭
260	歇
261	股
262	秩
263	章
264	碗
265	耦
266	筒
267	躯
268	颗
269	丘
270	包
271	匝
272	份
273	双
274	蔸
275	对
276	庄
277	幢
278	吨
279	客
280	扣
281	抬
282	掐
283	泓
284	级
285	缗
286	墩
287	熟
288	户
289	本
290	栋
291	桶
292	手
293	肩
294	钟
295	盆
296	磴
297	粒
298	筹
299	酲
300	顷
301	乘
302	厘
303	队
304	伙
305	发
306	巡
307	尊
308	床
309	口
310	和
311	家
312	把
313	拃
314	搭
315	泡
316	纸
317	场
318	回
319	车
320	房
321	朵
322	架
323	棵
324	拳
325	脬
326	钱
327	盏
328	票
329	索
330	管
331	起
332	袭
333	下
334	刀
335	陌
336	件
337	叠
338	过
339	头
340	座
341	句
342	味
343	彪
344	抛
345	挂
346	提
347	注
348	线
349	块
350	团
351	轮
352	所
353	杆
354	根
355	榀
356	段
357	腔
358	铢
359	盘
360	罗
361	累
362	篇
363	趟
364	群
365	丈
366	分
367	陔
368	任
369	节
370	进
371	套
372	庹
373	号
374	响
375	层
376	批
377	挑
378	握
379	浔
380	组
381	坛
382	围
383	转
384	扇
385	束
386	桄
387	槽
388	沓
389	支
390	锊
391	眉
392	畈
393	緉
394	箱
395	面
396	袋
397	丝
398	列
399	部
400	倍
401	茎
402	通
403	弓
404	帖
405	台
406	骑
407	尾
408	抔
409	挺
410	摊
411	派
412	绞
413	垛
414	圈
415	载
416	炉
417	条
418	梃
419	犋
420	班
421	步
422	铺
423	眼
424	番
425	般
426	簇
427	首
428	两
429	则
430	出
431	儋
432	莛
433	造
434	引
435	帧
436	只
437	门
438	届
439	抱
440	捆
441	摞
442	湾
443	统
444	堵
445	孔
446	辆
447	炷
448	杯
449	样
450	爿
451	文
452	武
453	锤
454	石
455	窝
456	艘
457	角
458	项
459	有
460	此
461	请
